ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"1-268000.ckpt",1.000000,0.930000,0.826,0.793000,0.933000,14.283,OK,6
"1-276000.ckpt",1.000000,0.938000,0.829,0.789000,0.933000,13.880,OK,6
"1-284000.ckpt",1.000000,0.936000,0.829,0.793000,0.931000,13.895,OK,6
"1-292000.ckpt",1.000000,0.933000,0.828,0.793000,0.926000,13.885,OK,6
"1-300000.ckpt",1.000000,0.925000,0.832,0.772000,0.918000,14.398,OK,6
"last.ckpt",1.000000,0.929000,0.827,0.773000,0.930000,14.218,OK,6
"0-104000.ckpt",1.000000,0.954000,0.829,0.809000,0.945000,15.628,OK,7
"0-111000.ckpt",0.998000,0.951000,0.832,0.803000,0.938000,13.830,OK,7
"0-119000.ckpt",1.000000,0.946000,0.830,0.810000,0.939000,13.776,OK,7
"0-126000.ckpt",1.000000,0.934000,0.828,0.805000,0.939000,13.783,OK,7
"0-133000.ckpt",1.000000,0.930000,0.829,0.789000,0.926000,14.193,OK,7
"0-140000.ckpt",1.000000,0.925000,0.827,0.749000,0.924000,13.928,OK,7
"0-148000.ckpt",1.000000,0.937000,0.827,0.772000,0.921000,13.921,OK,7
"0-154000.ckpt",0.999000,0.940000,0.831,0.775000,0.927000,13.629,OK,7
"0-161000.ckpt",1.000000,0.937000,0.830,0.755000,0.921000,13.521,OK,7
"0-169000.ckpt",1.000000,0.934000,0.828,0.790000,0.924000,13.642,OK,7
"0-176000.ckpt",1.000000,0.942000,0.829,0.789000,0.919000,14.275,OK,7
"0-183000.ckpt",1.000000,0.922000,0.829,0.772000,0.922000,14.095,OK,7
"0-190000.ckpt",1.000000,0.924000,0.829,0.780000,0.916000,13.751,OK,7
"0-198000.ckpt",1.000000,0.928000,0.833,0.780000,0.929000,13.972,OK,7
"0-22000.ckpt",0.999000,0.957000,0.824,0.821000,0.938000,13.571,OK,7
"0-3000.ckpt",0.998000,0.926000,0.805,0.878000,0.929000,13.834,OK,7
"0-37000.ckpt",0.999000,0.929000,0.832,0.839000,0.948000,13.725,OK,7
"0-44000.ckpt",1.000000,0.950000,0.824,0.843000,0.945000,14.189,OK,7
"0-50000.ckpt",1.000000,0.934000,0.831,0.799000,0.934000,13.827,OK,7
"0-58000.ckpt",0.998000,0.925000,0.833,0.786000,0.916000,13.649,OK,7
"0-65000.ckpt",0.997000,0.937000,0.833,0.791000,0.934000,13.709,OK,7
"0-72000.ckpt",0.997000,0.922000,0.835,0.784000,0.917000,14.077,OK,7
"0-8000.ckpt",0.999000,0.924000,0.818,0.846000,0.929000,14.093,OK,7
"0-87000.ckpt",0.997000,0.928000,0.832,0.789000,0.912000,14.284,OK,7
"0-94000.ckpt",1.000000,0.933000,0.830,0.809000,0.928000,13.386,OK,7
"1-205000.ckpt",1.000000,0.933000,0.829,0.786000,0.938000,13.781,OK,7
"1-213000.ckpt",1.000000,0.937000,0.831,0.784000,0.927000,13.665,OK,7
"1-221000.ckpt",1.000000,0.929000,0.831,0.789000,0.929000,14.059,OK,7
"1-229000.ckpt",0.999000,0.931000,0.827,0.783000,0.923000,14.253,OK,7
"1-237000.ckpt",1.000000,0.931000,0.829,0.770000,0.922000,13.501,OK,7
"1-245000.ckpt",1.000000,0.930000,0.829,0.771000,0.921000,13.786,OK,7
"1-253000.ckpt",0.999000,0.936000,0.826,0.776000,0.924000,13.800,OK,7
"1-261000.ckpt",1.000000,0.928000,0.828,0.788000,0.923000,13.828,OK,7
"1-269000.ckpt",1.000000,0.923000,0.825,0.791000,0.932000,13.964,OK,7
"1-277000.ckpt",1.000000,0.921000,0.827,0.776000,0.928000,14.359,OK,7
"1-285000.ckpt",1.000000,0.935000,0.830,0.788000,0.929000,13.698,OK,7
"1-293000.ckpt",1.000000,0.927000,0.827,0.804000,0.930000,14.119,OK,7
"1-301000.ckpt",1.000000,0.923000,0.831,0.782000,0.925000,13.826,OK,7
